lang,precision,recall,f1-score
tsn,0.92,0.95,0.94
tuk,0.99,0.98,0.99
tur,0.96,0.94,0.95
tyv,0.94,0.95,0.94
udm,0.89,0.9,0.89
uig,0.99,0.99,0.99
ukr,0.97,0.96,0.96
urd,0.98,0.99,0.98
uzb,0.99,0.98,0.98
vec,0.9,0.87,0.88
vep,0.94,0.96,0.95
vie,0.99,0.98,0.99
vls,0.8,0.77,0.79
vol,1.0,1.0,1.0
vro,0.98,0.96,0.97
war,1.0,1.0,1.0
wln,0.94,0.93,0.93
wol,0.91,0.92,0.92
wuu,0.88,0.85,0.86
xho,0.88,0.92,0.9
xmf,0.97,0.96,0.96
yid,0.98,0.98,0.98
yor,0.94,0.92,0.93
zea,0.78,0.78,0.78
zh-yue,0.88,0.9,0.89
zho,0.86,0.91,0.89
accuracy,0.92,0.92,0.92
macro avg,0.93,0.92,0.93
weighted avg,0.93,0.92,0.93
